Latitude,Longitude,Depth
61.0,-58.5,2.101089111328125
61.0,-57.75,2.459994873046875
61.0,-57.0,2.442091064453125
61.0,-56.25,2.5589326171875
61.0,-55.5,2.50245166015625
61.0,-54.75,2.50891259765625
61.0,-54.0,2.5337685546875
61.0,-53.25,2.6467060546875
61.0,-52.5,2.653953369140625
61.0,-51.75,2.331697998046875
61.0,-41.25,0.5222318725585937
61.0,-39.75,1.7516514892578126
61.0,-39.0,1.941688354492188
61.0,-38.25,2.43598095703125
61.0,-37.5,2.346357666015625
61.0,-36.75,2.461989501953125
61.0,-36.0,2.653248291015625
61.0,-35.25,2.808818359375
61.0,-34.5,2.8152197265625
61.0,-33.75,2.91163232421875
61.0,-33.0,2.90112158203125
61.0,-32.25,2.833026123046875
61.0,-31.5,2.450102783203125
61.0,-30.75,2.265177490234375
61.0,-30.0,1.9705726318359376
61.0,-29.25,1.9503414306640623
61.0,-28.5,1.702934326171875
61.0,-27.75,1.491430908203125
61.0,-27.0,1.2587952880859374
61.0,-26.25,0.8426544799804687
61.0,-25.5,0.6831470947265625
61.0,-24.75,1.38166748046875
61.0,-24.0,1.3125455322265625
61.0,-23.25,1.3019940185546874
61.0,-22.5,1.406181640625
61.0,-21.75,1.3861729736328126
61.0,-21.0,1.4242095947265625
61.0,-20.25,1.5936749267578123
61.0,-19.5,1.58467578125
61.0,-18.75,1.708841064453125
61.0,-18.0,1.2685213623046876
61.0,-17.25,1.74236669921875
61.0,-16.5,1.811858154296875
61.0,-15.75,1.6950242919921874
61.0,-15.0,1.67622021484375
61.0,-14.25,1.59664501953125
61.0,-13.5,1.082471435546875
61.0,-12.75,0.5678380126953125
61.0,-9.75,0.5645230102539063
61.0,-9.0,0.6328290405273438
61.0,-8.25,0.8258910522460937
61.0,-7.5,1.313564697265625
61.0,-6.75,1.8884876708984373
61.0,-6.0,2.60423388671875
61.0,-5.25,2.803296630859375
61.0,-4.5,3.004873779296875
61.0,-3.75,2.9854365234375
61.0,-3.0,2.839346923828125
61.0,-2.25,2.808021728515625
61.0,-1.5,2.618588623046875
61.0,-0.75,2.4276748046875
61.0,0.0,2.41498095703125
61.0,0.75,2.301372314453125
61.0,1.5,2.0296470947265624
61.0,2.25,1.636035888671875
61.0,3.0,1.5781163330078125
61.0,3.75,1.5265595703125
61.0,4.5,1.4166778564453124
61.0,5.25,0.835463623046875
61.0,9.75,0.5537842407226562
61.25,-61.5,0.5667168579101562
61.25,-60.75,0.8866691284179687
61.25,-60.0,1.263335205078125
61.25,-59.25,1.0461722412109375
61.25,-58.5,1.7487276611328124
61.25,-57.75,2.167697021484375
61.25,-57.0,2.447542724609375
61.25,-56.25,2.402328857421875
61.25,-55.5,2.470484619140625
61.25,-54.75,2.505518798828125
61.25,-54.0,2.474279052734375
61.25,-53.25,2.4371435546875
61.25,-52.5,2.513276611328125
61.25,-51.75,0.95736767578125
61.25,-42.75,0.77658740234375
61.25,-40.5,1.247693359375
61.25,-39.75,1.825717041015625
61.25,-39.0,2.17882470703125
61.25,-38.25,2.2307373046875
61.25,-37.5,2.09420068359375
61.25,-36.75,2.398335205078125
61.25,-36.0,2.67736865234375
61.25,-35.25,2.7293779296875
61.25,-34.5,2.820162353515625
61.25,-33.75,2.900114990234375
61.25,-33.0,2.907374755859375
61.25,-32.25,2.940407958984375
61.25,-31.5,2.45263427734375
61.25,-30.75,2.2793759765625
61.25,-30.0,2.256936279296875
61.25,-29.25,1.8922412109375
61.25,-28.5,1.5388663330078125
61.25,-27.75,1.4692747802734376
61.25,-27.0,1.45361279296875
61.25,-26.25,1.4367166748046876
61.25,-24.75,0.770216552734375
61.25,-24.0,1.2181268310546876
61.25,-23.25,1.2486744384765625
61.25,-22.5,1.091973388671875
61.25,-21.75,1.2474608154296876
61.25,-21.0,1.24603955078125
61.25,-20.25,1.366461181640625
61.25,-19.5,1.6051414794921874
61.25,-18.75,1.607562744140625
61.25,-18.0,1.28284033203125
61.25,-17.25,1.758786376953125
61.25,-16.5,1.8136768798828125
61.25,-15.75,1.6865869140625
61.25,-15.0,1.6667152099609377
61.25,-14.25,1.583099365234375
61.25,-13.5,1.03161181640625
61.25,-12.75,0.5579093017578125
61.25,-9.75,0.5682842407226563
61.25,-9.0,0.6306624755859375
61.25,-8.25,0.823341796875
61.25,-7.5,1.327129638671875
61.25,-6.75,1.925369384765625
61.25,-6.0,2.61186962890625
61.25,-5.25,2.799299560546875
61.25,-4.5,3.017560302734375
61.25,-3.75,2.984093017578125
61.25,-3.0,2.84946630859375
61.25,-2.25,2.806297119140625
61.25,-1.5,2.618588623046875
61.25,-0.75,2.4276748046875
61.25,0.0,2.41498095703125
61.25,0.75,2.301372314453125
61.25,1.5,2.0296470947265624
61.25,2.25,1.64335888671875
61.25,3.0,1.5449937744140625
61.25,3.75,1.5336617431640625
61.25,4.5,1.4072293701171874
61.25,5.25,0.84582666015625
61.25,9.75,0.5498665161132813
61.5,-60.75,0.626702392578125
61.5,-60.0,1.2048970947265625
61.5,-59.25,1.0790113525390626
61.5,-58.5,1.352896484375
61.5,-57.75,1.92292431640625
61.5,-57.0,2.30385986328125
61.5,-56.25,2.360671875
61.5,-55.5,2.34326513671875
61.5,-54.75,1.8678814697265624
61.5,-54.0,1.6838177490234374
61.5,-53.25,1.7769105224609374
61.5,-52.5,1.816291015625
61.5,-40.5,0.517244140625
61.5,-39.75,1.69669091796875
61.5,-39.0,1.978970947265625
61.5,-38.25,2.13885205078125
61.5,-37.5,1.9724482421875
61.5,-36.75,2.40307177734375
61.5,-36.0,2.61891162109375
61.5,-35.25,2.678656494140625
61.5,-34.5,2.786589111328125
61.5,-33.75,2.78485595703125
61.5,-33.0,2.902678466796875
61.5,-32.25,2.60515576171875
61.5,-31.5,2.302536865234375
61.5,-30.75,2.717949462890625
61.5,-30.0,2.057413818359375
61.5,-29.25,1.7486910400390625
61.5,-28.5,1.83716845703125
61.5,-27.75,1.40392138671875
61.5,-27.0,1.3952008056640626
61.5,-26.25,1.3326136474609376
61.5,-25.5,1.0170728759765626
61.5,-24.75,0.6024860229492187
61.5,-24.0,0.6221639404296875
61.5,-23.25,1.10892138671875
61.5,-22.5,0.9727196044921876
61.5,-21.75,1.054499755859375
61.5,-21.0,0.9620107421875
61.5,-20.25,0.9246292114257812
61.5,-19.5,1.6033997802734374
61.5,-18.75,1.1757408447265625
61.5,-18.0,0.973224609375
61.5,-17.25,1.6202373046875
61.5,-16.5,1.71257958984375
61.5,-15.75,1.683618408203125
61.5,-15.0,1.6725548095703124
61.5,-14.25,1.5685433349609377
61.5,-13.5,1.01223046875
61.5,-12.75,0.552122802734375
61.5,-9.75,0.5698524169921875
61.5,-9.0,0.62552685546875
61.5,-8.25,0.83079296875
