Datetime,Latitude,Longitude,Dynamic_height
2011-02-24,78.4978,-145.0278,0.6246703206346935
2011-02-24,78.5129,-145.0812,0.6240988470636166
2011-02-25,78.4728,-145.2397,0.6247027746393282
2011-02-25,78.4702,-145.2605,0.6287922521759274
2011-02-26,78.4401,-145.3939,0.6260237162128396
2011-02-26,78.4142,-145.41,0.6244072448925299
2011-02-27,78.2699,-145.3432,0.6357918785459173
2011-02-27,78.2381,-145.2776,0.6304987709091089
2011-02-28,78.1906,-145.0614,0.6348208317778306
2011-02-28,78.1899,-145.0268,0.6335389012699968
2011-03-01,78.1931,-145.0113,0.6305102659591976
2011-03-01,78.1927,-145.0098,0.6353316167013983
2011-03-02,78.2055,-145.0255,0.6309871282939274
2011-03-02,78.2063,-145.0257,0.6337534922841744
2011-03-03,78.2126,-145.0498,0.6307070264392836
2011-03-03,78.2248,-145.0292,0.6275783122576742
2011-03-04,78.304,-144.6777,0.6165978184892651
2011-03-05,78.3689,-144.3595,0.6221853597131679
2011-03-05,78.3703,-144.3263,0.6210300008819242
2011-03-06,78.3613,-144.3276,0.6211505850019763
2011-03-06,78.3602,-144.3222,0.6215796518115873
2011-03-07,78.3312,-144.2913,0.6159700205582626
2011-03-07,78.3147,-144.2488,0.6120673432474993
2011-03-08,78.2987,-144.1957,0.6093908267646297
2011-03-08,78.2946,-144.2029,0.6116248721410047
2011-03-09,78.2936,-144.1931,0.6106892803338211
2011-03-09,78.2999,-144.1894,0.6130972260522609
2011-03-10,78.3601,-144.1291,0.6154149990752873
2011-03-10,78.3817,-144.0973,0.61411197081371
2011-03-11,78.4424,-143.9351,0.6192692595679226
2011-03-11,78.457,-143.8772,0.6181039493826752
2011-03-12,78.4828,-143.789,0.6196616244988881
2011-03-12,78.473,-143.794,0.6202748686752851
2011-03-13,78.4415,-143.7572,0.6187537116274381
2011-03-13,78.4306,-143.7431,0.6201567637420001
2011-03-14,78.4226,-143.7157,0.617721370920503
2011-03-14,78.4243,-143.6918,0.6187180078121703
2011-03-15,78.4472,-143.6554,0.6172822768379487
2011-03-15,78.4587,-143.6332,0.6131930907065335
2011-03-16,78.4777,-143.6404,0.6162627035284566
2011-03-16,78.4764,-143.6428,0.6166659794014892
2011-03-17,78.4785,-143.6324,0.615646601485666
2011-03-17,78.4784,-143.6281,0.6163084049695549
2011-03-18,78.4698,-143.6206,0.6155377340825227
2011-03-18,78.4703,-143.6142,0.6175084899317915
2011-03-19,78.4735,-143.5597,0.6151084927362708
2011-03-19,78.4789,-143.5224,0.6137714475363871
2011-03-20,78.5091,-142.9226,0.6167809568585113
2011-03-20,78.5174,-142.7641,0.6142334365463534
2011-03-21,78.5418,-142.6432,0.6147707815069736
2011-03-21,78.5417,-142.6448,0.6170857184037152
2011-03-22,78.5423,-142.6439,0.6141106148226727
2011-03-22,78.5448,-142.6458,0.6167094236422306
2011-03-23,78.5739,-142.6758,0.6125328671394525
2011-03-23,78.5857,-142.6968,0.6121461725383588
2011-03-24,78.6094,-142.6853,0.6118493035039549
2011-03-24,78.6178,-142.6252,0.6077897250515414
2011-03-25,78.6434,-142.441,0.6111220655595972
2011-03-25,78.6472,-142.3863,0.6097997035590418
2011-03-26,78.6563,-142.3279,0.61086621430315
2011-03-26,78.6574,-142.3052,0.6102799153568494
2011-03-27,78.6525,-142.3313,0.6104838955726847
2011-03-27,78.6457,-142.3447,0.6104226541479868
2011-03-28,78.6423,-142.3241,0.6098476078356421
2011-03-28,78.6417,-142.3047,0.6096756323415449
2011-03-29,78.6532,-142.2588,0.6093275585330663
2011-03-29,78.6575,-142.2396,0.6094645062039178
2011-03-30,78.656,-142.2856,0.6092030258987003
2011-03-30,78.649,-142.2895,0.6087981442061559
2011-03-31,78.6364,-142.3296,0.6090061593224395
2011-03-31,78.6373,-142.3811,0.6052776347742067
2011-04-01,78.6896,-142.5713,0.6076318350464397
2011-04-01,78.7095,-142.5448,0.6054221370665704
2011-04-02,78.7612,-142.4034,0.6040224260269259
2011-04-02,78.7695,-142.307,0.6043423813473706
2011-04-03,78.7805,-142.0457,0.603230013479088
2011-04-03,78.7638,-141.9705,0.6038631838095825
2011-04-04,78.7646,-141.9113,0.6017175127687149
2011-04-04,78.7632,-141.9123,0.6019781448062482
2011-04-05,78.7599,-141.8988,0.6013040431196037
2011-04-05,78.7559,-141.883,0.6002783207562477
2011-04-06,78.7567,-141.8452,0.6014051322614808
2011-04-06,78.7566,-141.8378,0.599133276000933
2011-04-07,78.7572,-141.8378,0.6017167720140042
2011-04-07,78.7568,-141.8383,0.5995677457142243
2011-04-08,78.7414,-141.8655,0.6014002666961212
2011-04-08,78.7321,-141.8897,0.5991490804091718
2011-04-09,78.7115,-141.9297,0.6031912383099469
2011-04-09,78.7028,-141.9606,0.6016648533920506
2011-04-10,78.6827,-141.9365,0.6044665127699702
2011-04-10,78.6726,-141.9357,0.6042190826023955
2011-04-11,78.6652,-141.8819,0.6042594057289876
2011-04-11,78.6609,-141.8565,0.6051191324754438
2011-04-12,78.656,-141.7825,0.6041914835731578
2011-04-12,78.6537,-141.7606,0.6046516431478476
2011-04-13,78.658,-141.6907,0.6035412938879559
2011-04-13,78.6599,-141.6277,0.6030006658426983
2011-04-14,78.6558,-141.3246,0.6019619466133956
2011-04-14,78.6549,-141.238,0.6011070493947497
2011-04-15,78.6815,-140.9545,0.5994153350350196
2011-04-15,78.6874,-140.8036,0.5921348066181009
2011-04-16,78.6825,-140.7691,0.5968258528815289
2011-04-16,78.6701,-140.7652,0.5965449470133791
2011-04-17,78.6724,-140.7562,0.5961307512112197
2011-04-17,78.6741,-140.7529,0.5967791721688988
2011-04-18,78.6739,-140.7533,0.595950668104402
2011-04-18,78.6737,-140.7529,0.5954894594864838
2011-04-19,78.6698,-140.7787,0.5956119436049637
2011-04-19,78.6604,-140.8517,0.5899594678355488
2011-04-20,78.6395,-140.8776,0.5959338196960684
2011-04-20,78.6386,-140.8826,0.5962940699775168
2011-04-21,78.6267,-140.9394,0.5967371867532164
2011-04-21,78.6199,-140.9565,0.5958548983986883
2011-04-22,78.5751,-140.954,0.5977073358886457
2011-04-22,78.5526,-140.9535,0.5949359525716912
2011-04-23,78.5032,-140.83,0.5990143730341468
2011-04-23,78.5066,-140.8052,0.600122750922242
2011-04-24,78.5033,-140.7767,0.5980042746021821
2011-04-24,78.5058,-140.7315,0.5991984786697698
2011-04-25,78.4953,-140.6562,0.5967010355967662
2011-04-25,78.4912,-140.6596,0.6005349339597724
2011-04-26,78.4809,-140.6375,0.5963224341366254
2011-04-26,78.4812,-140.6655,0.5969963641472729
2011-04-27,78.485,-141.0094,0.5966376818442296
2011-04-27,78.4759,-141.069,0.6000499216067245
2011-04-28,78.3836,-140.9607,0.6004610131461516
2011-04-28,78.3515,-140.9316,0.5998930687954485
2011-04-29,78.3099,-140.9083,0.6020251899193434
2011-04-29,78.2912,-140.9274,0.6039975269263699
2011-04-30,78.2498,-141.0715,0.6046514098464751
2011-04-30,78.2431,-141.0806,0.6087629932488146
2011-05-01,78.2441,-141.0368,0.6053105173270987
2011-05-01,78.2449,-141.0088,0.6061768221710621
2011-05-02,78.2089,-140.7186,0.608337510142016
2011-05-02,78.202,-140.6488,0.6082702552220012
2011-05-03,78.2132,-140.5399,0.6064100826603144
2011-05-03,78.2153,-140.5207,0.6075894844060495
2011-05-04,78.2306,-140.4333,0.6045874549142387
2011-05-04,78.237,-140.3954,0.6044100467972776
2011-05-05,78.2474,-140.3051,0.603939986994343
2011-05-05,78.2479,-140.2941,0.6031230682710763
2011-05-06,78.2579,-140.2861,0.6039773668377231
2011-05-06,78.2634,-140.298,0.6009909298727903
2011-05-07,78.2721,-140.2649,0.600628962075444
2011-05-07,78.2858,-140.258,0.595140113340963
2011-05-08,78.3308,-140.2663,0.5964919510875092
2011-05-08,78.3407,-140.2628,0.5946470251696048
2011-05-09,78.3573,-140.2716,0.5950662577378848
2011-05-09,78.3623,-140.2791,0.5953409746346704
2011-05-10,78.3683,-140.3424,0.5950085112846644
2011-05-10,78.3591,-140.3916,0.5945738931193504
2011-05-11,78.322,-140.4433,0.5986809474616205
2011-05-11,78.3085,-140.4456,0.6010064887679973
2011-05-12,78.2964,-140.374,0.6000231455516197
2011-05-12,78.2991,-140.3492,0.5997080069183377
2011-05-13,78.3591,-140.1866,0.5966957970214413
2011-05-13,78.381,-140.1148,0.5910232347173204
2011-05-14,78.4118,-139.9052,0.5939488968643315
2011-05-14,78.4142,-139.904,0.5951673894834097
2011-05-15,78.441,-139.8854,0.5933497264926194
2011-05-15,78.4511,-139.888,0.5907291459487575
2011-05-16,78.4931,-139.8759,0.5917719412249665
2011-05-16,78.5011,-139.8724,0.5913062791760971
2011-05-17,78.5222,-139.8414,0.5905765373558707
2011-05-17,78.5225,-139.8419,0.5921804356742439
2011-05-18,78.5212,-139.8703,0.5905737221049994
2011-05-18,78.5224,-139.8981,0.5926585836519279
2011-05-19,78.5344,-140.0029,0.5903030168997633
2011-05-19,78.5424,-140.0519,0.5904497093140618
2011-05-20,78.5747,-140.1941,0.5908440440222007
2011-05-20,78.5929,-140.2626,0.5858660188832143
2011-05-21,78.6445,-140.4298,0.589938524428007
2011-05-21,78.6636,-140.458,0.5861228085945502
2011-05-22,78.7321,-140.529,0.5890310856833404
2011-05-22,78.7523,-140.4637,0.5851652407176517
2011-05-23,78.7708,-140.3288,0.5875811633658267
2011-05-23,78.7714,-140.3248,0.5914197051436058
2011-05-24,78.7748,-140.3633,0.5886458735276557
2011-05-24,78.7794,-140.42,0.5872238435040662
2011-05-25,78.7942,-140.5935,0.5876721793019917
2011-05-25,78.8035,-140.6398,0.5888435862311076
2011-05-26,78.8186,-140.6698,0.5872285631838117
2011-05-26,78.8185,-140.6521,0.5890722350827486
2011-05-27,78.7848,-140.5415,0.5864663778963404
2011-05-27,78.7628,-140.5186,0.5858303721441646
2011-05-28,78.6973,-140.4905,0.5890513294905932
2011-05-28,78.6776,-140.426,0.588819102164867
2011-05-29,78.6418,-140.1686,0.5891279181727702
2011-05-29,78.6333,-140.0769,0.5906298057537348
2011-05-30,78.5909,-139.9938,0.5874077914844336
2011-05-30,78.5723,-139.9828,0.5921880652158765
2011-05-31,78.5239,-139.8418,0.589215650938644
2011-05-31,78.5105,-139.7831,0.594910738251644
2011-06-01,78.4452,-139.7317,0.5913891971848442
2011-06-01,78.4205,-139.7409,0.5963148269810294
2011-06-02,78.355,-139.7888,0.595192716276724
2011-06-02,78.3266,-139.8079,0.5981190991172516
2011-06-03,78.2511,-139.5778,0.6004458730528873
2011-06-03,78.2147,-139.4732,0.6007156693979008
2011-06-04,78.1152,-139.1376,0.60501485751769
2011-06-04,78.0889,-139.0215,0.6050459803467985
2011-06-05,78.0326,-138.8287,0.6075543107570612
2011-06-05,78.019,-138.7801,0.6097616448892009
2011-06-06,77.9886,-138.7402,0.6078354186182621
2011-06-06,77.9777,-138.7586,0.6106090966170674
2011-06-07,77.9342,-138.7877,0.6116257649088164
2011-06-07,77.9208,-138.7877,0.612814833657635
2011-06-08,77.8986,-138.7527,0.6138557392010598
2011-06-08,77.8896,-138.7484,0.614463284164627
2011-06-09,77.871,-138.7375,0.6149489090550699
