Latitude,Longitude,Dynamic_Height
70.5,-138.0,0.52130259612571
70.5,-137.5,0.5077291336149269
70.5,-137.0,0.5188357201796843
70.5,-136.5,0.5268533249247461
70.5,-136.0,0.49726459272051604
70.5,-135.5,0.503668193845638
70.5,-135.0,0.5250612607576028
70.5,-134.5,0.5492321916309074
70.5,-134.0,0.5803966019502038
70.5,-133.5,0.6540938274804409
70.5,-133.0,0.6792683266822646
70.5,-132.5,0.6911231329495262
70.5,-132.0,0.7048057140529869
70.5,-131.5,0.6964160802345262
70.5,-131.0,0.7064196968878258
70.5,-130.5,0.7053943450685372
70.5,-130.0,0.7115913867777959
70.5,-129.5,0.7186722489276375
70.5,-129.0,0.7092621960789605
70.5,-128.5,0.7359834301003214
70.5,-128.0,0.7099278935812193
70.5,-127.5,0.6569370391462281
70.5,-127.0,0.6410128567762058
70.5,-126.5,0.6292007757134273
70.5,-126.0,0.6223532651293118
70.5,-125.5,0.6226797807335259
70.5,-125.0,0.6228198863526364
70.75,-155.0,0.8594210829410657
70.75,-154.5,0.8274165658359023
70.75,-154.0,0.8445366361461946
70.75,-153.5,0.8507222051624838
70.75,-153.0,0.8649618011019712
70.75,-152.5,0.8335788918434688
70.75,-152.0,0.832644186565665
70.75,-151.5,0.7725912960260667
70.75,-151.0,0.7517914150950278
70.75,-150.5,0.7696482946082748
70.75,-150.0,0.7093777138065829
70.75,-149.5,0.6809890928157509
70.75,-149.0,0.6696413524945677
70.75,-148.5,0.6745602975531731
70.75,-148.0,0.6153382478804441
70.75,-147.5,0.6173837709567739
70.75,-147.0,0.6558062851032795
70.75,-146.5,0.6409717660196839
70.75,-146.0,0.6318089928009848
70.75,-145.5,0.6623624848112846
70.75,-145.0,0.6448668223636037
70.75,-144.5,0.6461585428288938
70.75,-144.0,0.6312183571943302
70.75,-143.5,0.6439159298801144
70.75,-143.0,0.639971246607826
70.75,-142.5,0.6302871509173715
70.75,-142.0,0.6219047924575318
70.75,-141.5,0.6216437694217617
