Unnamed: 0,X_meters,Y_meters,Longitude,Latitude,Depth,Surf_DH,Surf_DH_err,Datetime,ug,vg,hFW,hFW_err,D_Siso,D_Siso_err
1269,2804258.5604359005,4304258.5604359,-153.87301651381642,79.90624050794646,3.8485244140625,0.6041870241242463,0.0636175723042588,2012-01-01,-0.0312701757383919,-0.0587986744554928,18.405506608753747,,202.7715443001831,
1270,2854258.5604359005,4304258.5604359,-156.21228648737238,80.09673628221562,3.806927490234375,0.5267858491237817,0.1132932807297492,2012-01-01,-0.0586535496388758,-0.0852870922809027,14.990710325928422,,176.69990941437004,
1271,2904258.5604359005,4304258.5604359,-158.6388468728092,80.27002785182424,3.358665771484375,0.4795451457753407,0.1207390701614993,2012-01-01,-0.0021602837261921,-0.0367955247808349,13.231902182613856,,162.55399486652098,
1272,2954258.5604359005,4304258.5604359,-161.14849676217443,80.42519208239936,3.029417236328125,0.4729835767667366,0.120925329776434,2012-01-01,-0.0012882458310707,-0.0089348054621667,13.353443755667762,,160.84277187340638,
1273,3004258.5604359005,4304258.5604359,-163.73547341521632,80.56134478141365,3.052408935546875,0.4664747513978798,0.1102723596774152,2012-01-01,-0.0074451936317231,-0.0068411938333747,12.573613176375677,,161.31949505957454,
1274,3054258.5604359005,4304258.5604359,-166.39239961359155,80.67766153546734,3.287818359375,0.4629719066540958,0.1132961730431454,2012-01-01,-0.0068731665510276,-0.0154736760691579,12.575455310899448,,157.87887285848208,
1275,3104258.5604359005,4304258.5604359,-169.1102984889815,80.7733994518434,3.291108154296875,0.443822452426675,0.1171847314541059,2012-01-01,0.0065303046870095,-0.0035552722157306,12.0054568665852,,158.1454425504671,
1276,3154258.5604359005,4304258.5604359,-171.8786871041987,80.84791871033795,3.30112646484375,0.4577658496056692,0.1255388838774155,2012-01-01,-0.0051318824096879,0.0038980681013029,12.020750684149569,,157.1181045179505,
1277,3204258.5604359005,4304258.5604359,-174.68575428338133,80.90070264589502,3.0730263671875,0.4495316611421251,0.1294793052071246,2012-01-01,-0.0020201888032132,-0.0439435274666272,11.734825584725543,,157.7071887232494,
1278,3254258.5604359005,4304258.5604359,-177.51862043511645,80.93137501070369,1.801451171875,0.3933956258119663,0.1165264102823418,2012-01-01,-0.0349818125931904,-0.0452494711727174,11.01482034979156,,144.59116720877307,
1279,3304258.5604359005,4304258.5604359,179.63633166072103,80.9397131402843,1.778801025390625,0.3832428241520386,0.094526739144885,2012-01-01,-0.0219002687803882,-0.0120683642984494,10.52426168183479,,129.91385320992484,
1280,3354258.5604359005,4304258.5604359,176.79307454807318,80.92565598377591,2.09937744140625,0.3757155028180415,0.105620517801926,2012-01-01,-0.0001234108633533,-0.02944615525341,9.90159994702372,,129.16620290950797,
1281,3404258.5604359005,4304258.5604359,173.965528251831,80.88930633685976,2.627735595703125,0.3401059531913085,0.1029228770148385,2012-01-01,0.0001768494089478,-0.0317514187303914,8.397253038444475,,119.96994646504312,
1282,3454258.5604359005,4304258.5604359,171.1671562388892,80.83092708975649,2.775154296875,0.3292062312656215,0.0915851207708116,2012-01-01,-0.00449484234415,-0.0135450828905163,7.564998683788828,,110.2064678783646,
